b,time,hostname,notes
4,0.122169,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
8,0.091433,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
16,0.109659,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
32,0.138107,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
64,0.149417,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
128,0.247758,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
256,0.168104,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
4,0.132758,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
8,0.099685,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
16,0.104610,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
32,0.199357,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
64,0.189752,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
128,0.167804,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
256,0.118614,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
4,0.125869,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
8,0.091989,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
16,0.114744,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
32,0.251302,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
64,0.251039,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
128,0.303249,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
256,0.174734,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
4,0.128666,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
8,0.104142,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
16,0.111548,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
32,0.217843,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
64,0.221133,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
128,0.236429,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
256,0.161642,hpc-c11-node13.unitn.it,whitout-vectorization-or-prefetch
4,0.114123,hpc-c11-node13.unitn.it,whit-prefetch
8,0.101140,hpc-c11-node13.unitn.it,whit-prefetch
16,0.105045,hpc-c11-node13.unitn.it,whit-prefetch
32,0.113447,hpc-c11-node13.unitn.it,whit-prefetch
64,0.104199,hpc-c11-node13.unitn.it,whit-prefetch
128,0.101694,hpc-c11-node13.unitn.it,whit-prefetch
256,0.102795,hpc-c11-node13.unitn.it,whit-prefetch
4,0.122361,hpc-c11-node13.unitn.it,whit-prefetch
8,0.090293,hpc-c11-node13.unitn.it,whit-prefetch
16,0.097368,hpc-c11-node13.unitn.it,whit-prefetch
32,0.096734,hpc-c11-node13.unitn.it,whit-prefetch
64,0.097445,hpc-c11-node13.unitn.it,whit-prefetch
128,0.097850,hpc-c11-node13.unitn.it,whit-prefetch
256,0.097760,hpc-c11-node13.unitn.it,whit-prefetch
4,0.142244,hpc-c11-node13.unitn.it,whit-prefetch
8,0.106788,hpc-c11-node13.unitn.it,whit-prefetch
16,0.101411,hpc-c11-node13.unitn.it,whit-prefetch
32,0.105305,hpc-c11-node13.unitn.it,whit-prefetch
64,0.108167,hpc-c11-node13.unitn.it,whit-prefetch
128,0.109152,hpc-c11-node13.unitn.it,whit-prefetch
256,0.101642,hpc-c11-node13.unitn.it,whit-prefetch
4,0.125081,hpc-c11-node13.unitn.it,whit-prefetch
8,0.089987,hpc-c11-node13.unitn.it,whit-prefetch
16,0.088872,hpc-c11-node13.unitn.it,whit-prefetch
32,0.088154,hpc-c11-node13.unitn.it,whit-prefetch
64,0.089046,hpc-c11-node13.unitn.it,whit-prefetch
128,0.095205,hpc-c11-node13.unitn.it,whit-prefetch
256,0.098684,hpc-c11-node13.unitn.it,whit-prefetch
4,0.058187,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
8,0.015235,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
16,0.016178,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
32,0.019338,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
64,0.019340,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
128,0.019006,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
256,0.017275,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
4,0.047530,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
8,0.012275,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
16,0.012855,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
32,0.013575,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
64,0.012690,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
128,0.012814,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
256,0.013437,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
4,0.051639,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
8,0.012986,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
16,0.013677,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
32,0.014458,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
64,0.014906,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
128,0.015026,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
256,0.013758,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
4,0.052719,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
8,0.013413,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
16,0.014187,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
32,0.014943,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
64,0.015030,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
128,0.015590,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
256,0.013549,hpc-c11-node13.unitn.it,whit-prefetch-and-vectorization
